标题,标题链接,查看数,参与数,需求价格,详情标题,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【排版设计】做一组搞怪系列文字的设计排版，文字少，较简单,https://task.epwk.com/353180/,8186人,6人,¥400,,mf189****2688,￥ 400,￥ 400,2015.05.15,要求：1、尺寸1200*2000PX，300dpi，文字在画布中间，与画布上下左右边距要留多一些，如附件【13.jpg】            2、根据我们提供的文字内容，将其分别进行重新设计排版，使文字更有个性更好看            3、最好是有些底纹的背景，不要用纯色底            4、所用字体不要涉及到版权问题的字体，可以自己对字体进行一定的修改和美化，最好每幅文字能加些自己的创意。            需要做的文字内容:1、待我长发及腰 拿来拖地可好2、有钱，任性，没钱，认命3、我读书少，你别骗我4、我是你大爷！5、肉肉，你走吧6、且行且珍惜7、今天没吃药，觉得自己萌萌哒8、也是醉了9、臣妾做不到啊！10、不做死就不会死类似于附件的样子（附件仅作为参考，要比附件做得更好看些）,任务编号：353180,mf132****1069,品牌设计01
【LOGO设计】建筑工程有限公司logo设计,https://task.epwk.com/351723/,9398人,43人,¥600,,心海66,￥ 600,￥ 600,2015.05.09,广州荣祥中建筑工程有限公司成立于2007年10月，是一家中大型的民营施工企业。目前拥有市政公用工程总承包壹级、房屋建筑施工总承包壹级、建筑装饰装修工程专业承包壹级、机电设备安装工程专业承包壹级、城市道路照明工程专业承包贰级、体育场地设施专业承包贰级、城市园林绿化叁级等资质。公司主项为市政公用工程资质。现要求设计公司logo、公司名片、公司资料袋、无纺布袋设计。网址：http://www.gzrxz.com,任务编号：351723,巴蜀来客,东煌腾达
【LOGO设计】蜂花恋品牌LOGO设计,https://task.epwk.com/351023/,9889人,29人,¥600,,mf150****6060,￥ 600,￥ 600,2015.05.06,卖蜂蜜  蜂胶 蜂王浆等   蜂产品 具体需求看附件。,任务编号：351023,一视觉设计,9度设计
,,,,,,,,,,,,,
【产品外观设计】【高价】求玉器产品图形符号设计，轻松任务，点击进入查看,https://task.epwk.com/350034/,2323人,17人,"¥1,800",,秘密类,￥ 1800,￥ 1800,2015.05.01,详情需求请看附件。,任务编号：350034,出山堂设计机构,锐智设计工作室
【产品外观设计】【高价】某珠宝类产品图形符号设计，轻松任务，点击进入查看,https://task.epwk.com/350036/,2715人,18人,"¥1,500",,秘密类,￥ 1500,￥ 1500,2015.05.01,详细细节请看附件。希望用心设计，如稿件优秀后续可再合作提高赏金，谢谢！,任务编号：350036,先致创意,agan517
【LOGO设计】山西省陵川县第一山林场LOGO设计,https://task.epwk.com/346594/,12181人,47人,"¥1,500",,o553071fa0d91c,￥ 1500,￥ 1500,2015.04.17,1为山西省陵川县第一山林场设计一枚LOGO，色彩以绿色为主色调。2陵川县第一山林场的主要植被为油松林，可以使用油松进行抽象变形进行设计。3第一山林场打出的口号是“千里太行第一山”也可以突出“第一山”的主题。4可以使用一些字母与树的结合进行抽象变形。5第一山林场的网址为：http://jincheng06447.11467.com/，可登陆网址查看第一山林场的相关信息。,任务编号：346594,小玉设计工作室,腾辉设计
【宣传册设计】多媒体公司彩页设计,https://task.epwk.com/346370/,8400人,12人,"¥2,000",,acan2008,￥ 2000,￥ 2000,2015.04.16,多媒体公司彩页设计需求：制作一份包括封面封底共12个版面的宣传册，大小形式不定我方提供宣传册所需要的文字内容和图片内容图片部分可能需要做稍微调整，以确保和背景能有更合的整体感要求：排版具有科技感，美观、大气、清爽。详情站内信沟通。本案拟定两稿中标方案 一等奖1100元 二等奖900元 欢迎有实力设计师来比稿联系QQ：136183797，接收资料。,任务编号：346370,点点术士,太极石品牌设计
【LOGO设计】日用品公司需求公司logo以及名片设计,https://task.epwk.com/346040/,8371人,37人,"¥1,000",,alanshen08,￥ 1000,￥ 1000,2015.04.14,公司名字：杭州品趣科技有限公司英文名字：hangzhou Pinterest Tech co LTD公司主营：母婴玩具类，如宝宝行李箱，宝宝坐便器，儿童可折叠浴盆，宝宝硅胶围兜；创新型日用品，如带杀菌作用的厨房用品，如洗碗器，儿童餐具，厨房菜板，储物罐，冰箱收纳盒等一系列厨房塑料用品；公司注册商标：pinterest，现要求在此英文商标的原则上设计公司logo，能形象的反映出我公司的公司特质，创新环保；公司名片设计要求：绿白为主谢谢联系方式：269066702,任务编号：346040,艾肯美道品牌设计机构,子虎广告
【LOGO设计】广州市湖南岳阳商会会标和名片,https://task.epwk.com/344940/,8046人,16人,¥600,,心海66,￥ 600,￥ 600,2015.04.09,"商会全称：广州市湖南岳阳商会，现需要设计商会会标logo、商会会员名片格式。        目前主要设计会徽，名片，后步设计商会 形象，会徽体现广州(穗)的岳阳人勤劳勇敢做一事创业，以乡情友情商情联系一起共亨资源，共建广州的岳阳大家，回报家乡的父老乡亲，培育优秀企业和学子及人才。传岳阳精神“先天下之忧而忧，后天下之乐而乐”的精神。岳阳有一山即君山一水即洞庭湖一楼即岳阳楼。.         会员:1,广州及珠三角岳阳籍或广州或热爱岳阳或拥爱本商会的工商企业老板，金领白领，公职人员，高技术人才优秀学子2,德才兼备3,愿建广州岳阳大家。",任务编号：344940,1985设计工作室,子虎广告
【LOGO设计】微拍贷logo设计,https://task.epwk.com/343119/,30563人,172人,"¥4,750",,kkre33998,￥ 4750,￥ 4750,2015.04.03,"中文名：微拍贷网站为：p2p网站希望能够出一个好的作品知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用。",任务编号：343119,一视觉设计,SHOOT Design
【包装设计】228克白糖包装设计,https://task.epwk.com/342691/,6100人,20人,¥600,,mf155****6522,￥ 600,￥ 600,2015.04.02,产品商标：古泉（已注册）主要用途：适用于实体店超市销售和网络销售等。设计要求：1.设计突出简单大方，有自己的特点。2.体现功能糖亮点，产品突出、有档次。3.对于包装袋要求，设计要新颖、独特。4.作品风格、形式不限，但必须原创。产品规格：228克甘蔗白砂糖  尺寸：高24、宽15.5、厚20,任务编号：342691,狼牙品牌包装设计,南京豪竹文化传播有限公司
【LOGO设计】设计一个韩国企业LOGO,https://task.epwk.com/341992/,17093人,104人,"¥1,188",,me20890,￥ 1188,￥ 1188,2015.03.31,中文名称： 佑米  ， 英文名称： YOUMI 任务要求是请用YOUMI来设计一个具有个性时尚含义的企业LOGO ， 如果可以的话YOUMI和佑米中文结合也可以。此公司是一家在韩国开的公司，也属于跨国公司了，主要在韩国经营进出口贸易，电子产品批发兼零售，以后牵涉到旅游，医疗，服装服饰，软件设计开发等业务。希望能出来一个好的作品。联系QQ: 11699702邮箱： khkim6699@gmail.com请用qq或邮箱联系 ，因本人在韩国，手机是没有的。,任务编号：341992,亞格設計公司,展新视觉
【LOGO设计】欧日韩女装品牌贸易公司征集创意商标,https://task.epwk.com/341880/,4030人,14人,¥500,,mz139****7315,￥ 500,￥ 500,2015.03.30,"征集介绍： 本公司属于贸易公司主要经营欧日韩进出口女装，专注高端品质的时尚潮流服饰鞋帽等等，店面的装修风格以复古的欧美乡村路线为主。在此征集设计LOGO一枚（希望可以包括图案、中文、英文的设计）到时候会用来做店面门头·服饰领标·和包装袋的所有用途，最好附包装袋创意设计图品牌名称：MayMu 麦木设计要求：1，高端大气.简洁.美观          2，有视觉冲击力，醒目易识别，一眼就可以记住          3，有自己的独特创意，尽管大胆设计          4. 专注走国际化路线知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品",任务编号：341880,艺中人传媒,夜航人工作室
【LOGO设计】电子产品研发公司logo设计,https://task.epwk.com/339727/,7783人,42人,¥500,,mf150****9997,￥ 500,￥ 500,2015.03.22,公司logo设计 公司性质：公司主要从事电子产品研发 和硬件方案提供商 公司名  飞驰创新  英文 GALLOPER 最好是中英文LOGO  颜色可渐变 或者多颜色,任务编号：339727,金生设计室,银河创意设计中心
【VI设计】珠宝公司VI设计,https://task.epwk.com/339488/,6691人,24人,¥600,,mf180****5886,￥ 600,￥ 600,2015.03.21,浪漫海是一家专业销售彩色宝石的公司，LOgo要求：1，时尚大方，简洁，具有视觉冲击力，又能显现出浪漫的感觉2、必须是原创作业，可以在国家商标局注册3、内容尽量突显出爱与浪漫,任务编号：339488,一视觉设计,小胖子设计室
【LOGO设计】化妆品公司名字及产品名称,https://task.epwk.com/337634/,8436人,58人,¥750,,mf189****5368,￥ 750,￥ 750,2015.03.15,公司主营项目女性护肤品系列，产品正加紧生产研发中。现向各位大仙征集公司名字，公司名需可注册。要求：贴合实际，既然是经营化妆品，名字不能太随意；所取名字必须能在商标注册网站注册。能附LOGO最佳。面膜名字征集要求：产品为天然昆虫精华提取，具有顶级修复的效果。名字一旦中标，后期将会有其他项目合作，望各位大仙各显神通，发挥你们无穷的智慧！谢谢！！！,任务编号：337634,虚星策划工作室,夜航人工作室
