标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【品牌起名】APP及网上特色购物商城取名征集,4009人,137人,¥300,圆满完成,o5b4408a20e449,"APP网上购物商城名字要求：1.网络商城主要销售全国每个城市的名优特产品，即当地城市的名品、地标性产品、当地的品牌产品、特色产品，汇聚当地城市的特色旅游、特色商品、地标性商品、当地品牌产品、特色酒店、特色线下美食店铺等。2.在对此购物网站取名和定义中，把此购物网站的定义为：“互联网城市”“网上城市”“网上集市”“网上街道”的概念。3.取的名字要有城市的概念，比如“小象城、万象城、云城、大晟市、红人小镇、天和街”等.4.也可以用动物名，如“鹅城、象城、兔子小镇、兔子街、兔子集市”。5.也可以用植物名，如“小树城、菊花城、杉树小镇、玫瑰街、莲花集市”。6.也可以用互联网潮流词汇，如“云城、红人城、轩辕城、桃源居、大晟市”7.也可以使用对店铺的定义或对店铺老板的别称,如“东家”、“店家”、“掌柜”、“手艺人”等；8.名字要有特殊的意义，可在商标网注册，2-4个字左右，同时必须要有“英文”。",2018-07-15,2018.08.13,任务编号：637339,300.0,231.0,天艺之星,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】考研教育机构起名,3929人,159人,¥100,圆满完成,上流王小小,1、没有被注册过商标的2、大气，洋气，考虑到公司长期发展,2018-07-15,2018.08.17,任务编号：637332,100.0,217.0,文案服务,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】保健品品牌起名,3793人,128人,¥100,圆满完成,wg8886,求 保健食品 商标的好名字， 名称要易记，大气，有创意。可以商标注册通过审核的名字，不通过不会选中标。提交作品请设置隐藏。,2018-07-15,2018.10.21,任务编号：637255,100.0,181.0,南松,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【店铺/网店起名】郑州瑜伽馆名称征集,2319人,112人,¥100,圆满完成,小鱼goya,"郑州瑜伽馆名称征集 经营介绍： 主要瑜伽和普拉提，有常温瑜伽，哈他、流、阴、大、小球瑜伽、理疗瑜伽，孕产瑜伽要求：1、 最好有中、英文两种名称，并可注册商标            2、 附上创意说明            3、名称优雅有创意，并且易读（必须可以注册公司） 知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品",2018-07-13,2018.07.29,任务编号：636248,100.0,147.0,木成周,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【品牌起名】小吃项目取名,3395人,176人,¥100,圆满完成,o5b48533d835ac,我想给自己的小吃项目取个名字．原材料是用大米．白糖．用米酒当酵种．自然发酵．凉的更好吃。外面有的叫发糕．有的叫米糕．有的叫凉糕．有的叫洋糕．目前我们自己的叫朝鲜冷糕，想取个特别点的名字．要求原创可注册,2018-07-13,2019.01.29,任务编号：636774,100.0,209.0,文案服务,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】XX自动化科技有限公司取名,4937人,180人,¥380,圆满完成,o5a66ae235592f,要求：1、 注册时 为 无锡XX自动化科技有限公司 ，请知晓。2. 公司范围为：工业自动化设备中的传动机械配件的贸易为主，自动化的系统集成、开发服务为辅！3、名称两个或三个字 字数不限，要求 大气、上口、易记，符合行业性质，不要太过花哨，有一定寓意更好4、最好有中英文，方便网站域名，如果中文特别优秀，优先中文5、一定要能通过工商注册的！！！！可以在企大师先过一遍6、公司名字以大吉为主，可在相关网站测试,2018-07-13,2018.08.06,任务编号：636695,380.0,260.0,清潭阁主,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】软件开发公司取名,2543人,81人,¥300,圆满完成,o597570aa7c6a3,公司从事软件开发，软件销售、现需要一个公司品牌名，要求是可以注册商标，可以注册公司。二、取名要求：1、名称为中文并有英文对应，能方便设计企业logo2、名称要有好的寓意；3、名称要专业稳重。要简单易记，大气震撼，凸显精致。三、公司注册地址：湖北省特别注意：所取名称可以注册商标、可以注册公司。,2018-07-11,2018.11.25,任务编号：636123,300.0,122.0,hencongmingde,个人,四品,37分,,,公司品牌店铺所有起名,￥1000,,,,,,,,,,,,,,,,,公司起名
【品牌起名】品牌起名征集,2862人,165人,¥218,圆满完成,qianyanserve,品牌取名：以动物相关起品牌名我们主要从事服务类的平台，主要业务互联网共享经济下的IT技术服务、IT运维人员外包等IT相关行业。起名要求：简单、读起来流畅、能够体现服务类的平台相关品质，名字有内涵，可阐述简单意义。,2018-07-12,2018.12.30,任务编号：636364,218.0,230.0,余人传媒,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【店铺/网店起名】茶饮，甜点店品牌取名征集,3365人,185人,¥100,圆满完成,o5b45ac6985b1e,茶饮，甜点店品牌取名：1、品牌定位：高端加盟；2、定位人群：都市白领；3、取名诉求：好记住，高大上，易传播，富有联想！,2018-07-11,2018.08.10,任务编号：635917,100.0,229.0,o5a703121f0c77,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【品牌起名】淘宝返利app取名,5176人,161人,¥300,圆满完成,mf159****0103,类似花生日记的app带有动植物名称或者有内涵有意义的最好文字不能超过四个字,2018-07-11,2018.07.21,任务编号：635801,300.0,222.0,o5a275b944fa3e,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】细分类别药房品牌命名,2347人,123人,¥100,圆满完成,xiaolululu,我们是一家专业的药店，不卖普通的感冒药等普通的OTC药品，卖某个细分的处方药类别。大家可以给想个好的名字，诺，康，等都是不错的字，想的名字一定要能注册，我们选择的中标单位的名字一定是可以注册的。我们这个要的比较着急。,2018-07-11,2018.08.05,任务编号：635726,100.0,156.0,十月创意工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】设计公司取名,3476人,103人,¥200,圆满完成,o5ae31297aa906,1.公司取名必须可以通过工商局注册2.公司名字2或3个字组成且有设计科技前沿、可以做到中英结合。3.目前主设计后期往自动化、电子产品研发生产，取名须知。,2018-07-10,2018.08.03,任务编号：635534,200.0,141.0,创墨无界,工作室,九品,36分,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】品牌名称征集,2239人,119人,¥200,圆满完成,o5b4337dd1eea5,公司产品的客户群为互联网商务人群，新中产阶层。客户群年纪为25-55岁。（以男性为主）主打互联网高性价比的个性化定制服装产品（衬衫、裤子等）。根据身高、体重及人体体型特征描述，从海量数据库中匹配到最适合的版型，再附加个性化元素（如：挑选面料、领型、袖型、刺绣等）制作出合身合心的产品。取名要求：1.有互联网气质，有趣2.容易辨识，记忆，印象深刻3.利于传播和播传4.能反映主营业态，让人看了知道大致是做什么的。,2018-07-10,2018.07.20,任务编号：635516,200.0,161.0,奕寸定制,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】睡眠科技公司起名,8064人,452人,¥500,圆满完成,智能床垫睡眠科技,我司是睡眠相关的智能硬件公司，我们的产品包括智能床垫、智能枕头等智能家具类产品。起名字有下列要求：有科技感有舒适、亲切感可以注册商标有创意，最好有寓意中文名字，如果有搭配的英文名字更好（中文名优先，英文名不必须）期待大家的点子，谢谢！,2018-07-10,2018.08.01,任务编号：635383,500.0,641.0,MOMO创意工坊,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】APP网上商城名字征集,6285人,157人,¥200,圆满完成,o5b4408a20e449,网站取名-APP起名-公司取名-商城起名APP网上商城名字要求：1.首先名字要好记，读起来上口。2.名字带有“匠心的味道”、“工匠精神的味道”、“好物的味道”或“网上城市”的感觉及含义，名字可以天马行空的想象。3.可以用古代的文化或门派作为名字：战国如期出现的“墨家”及其掌门“巨子”，是古代工匠精神的代表。4.可以用西方的文化或神话故事作为名字，如“阿拉丁”。5.也可以用现代潮流词汇或动物植物做为名字，好记易上口，比如现在出现的“严选”、“优选”、“心选”、“去发现”、“小红书”、天猫。6.也可以用西方或中国经典的故事主人公名字，比如：阿里巴巴、阿拉丁神”等7.名字要有中文名字，以及必须要有对应的英文名字！8.名字可以在国家商标局注册或无相似的。9.名字的字数 ：最高上限4个字。最好是2个字。,2018-07-10,2018.11.23,任务编号：635349,200.0,217.0,艺文创工作室,工作室,九品,38分,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】健身健康行业类的品牌管理公司取名,3172人,77人,¥100,圆满完成,头盖骨,将成立一个新公司，以后针对健身、健康行业做品牌管理咨询业务就两个要求：1、高级！高级！高级！2、中英文名皆可注册！,2018-07-10,2018.07.25,任务编号：635306,100.0,116.0,雯子moonlight,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】给已经注册好的商标“”法奇录“”起英文名,2264人,86人,¥360,圆满完成,luhuanwang,现有注册的11类商标是：法奇录FaQiLu，主要业务是净水器租赁、太阳能方面。现在感觉这个拼音好像不太合适，现寻求法奇录的英文名，要求原创能注册的。命名要求：1、名称简单，易记，可以是非常个性的.另类的，也可以是非常随意的.必需有创意但不失稳重。（必须可以注册商标的，不是原创不要投）                  2、英文名字的字母数最好控制在5-10个之间，并附上简单商标名字创意说明。知识产权说明：所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,2018-07-09,2018.07.31,任务编号：634839,360.0,109.0,o5a6e9e518376b,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【宝宝起名】宝宝取名征集,4262人,170人,¥150,圆满完成,o5b42171a4b84c,小孩取名，出生时间2018  07  04  下午四点一刻。男孩，爸爸姓储，妈妈姓张，小孩姓储，麻烦各位取个好听的名字，名字最好能引用典故，同时需要需要结合五行等一些易学知识加以解释。谢谢大家,2018-07-08,2018.08.19,任务编号：634753,150.0,220.0,谷声品牌策划,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【公司起名】长葛市天顺祥机械制造有限公司（天顺祥）英文意译,2792人,47人,¥200,圆满完成,o5b21d869c2241,"经营介绍：主要生产建筑机械、工程机械生产销售。                            要求：                            1、天顺祥英文创意                1、英文必需可以注册商标            2、附上创意说明。                            知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2018-07-06,2018.07.30,任务编号：633978,200.0,56.0,MOMO创意工坊,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】美国啤酒吧命名方案,2881人,101人,¥100,圆满完成,xiaolululu,美国自酿啤酒。美国自酿啤酒很活泼，里面可以加水果、不同的口味、很丰富，名字也需要很强的美式文化。,2018-07-05,2018.07.26,任务编号：633633,100.0,115.0,凡清清清静静,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】装饰公司起名,3340人,198人,¥100,圆满完成,o5b3ae9b7703e2,想起一个不要太俗气 有点青春气息的名字，简易容易记。给些参考：柠檬树、乐巢、易品 要求能注册公司或者注册商标的，不然没法使用，上面几个在当地都有人注册，所以用不了。最好是2-4个字。,2018-07-05,2018.08.20,任务编号：633627,100.0,257.0,o5b36d7e0f423b,,,,,,,,,,,,,,,,,,,,,,,,公司起名
